nodes	taxa	dir
n5	Unclear / Clostridiales (Order)	Obese
n8	Clostridiales (Order) / Clostridiales (Order)	Control
n16	Clostridiales (Order) / Oscillibacter (Genus)	Control
n64	Unclear / Clostridiales (Order)	Obese
n67	Unclear / Clostridiales (Order)	Control
n68	Unclear / Ruminococcaceae (Family)	Obese
n72	Unclear / Clostridiales (Order)	Obese
n74	Selenomonadales (Order) / Tenericutes (Phylum)	Obese
n133	Lactobacillales (Order) / Tenericutes (Phylum)	Obese
n170	Tenericutes (Phylum) / Erysipelotrichaceae (Family)	Control
n172	Tenericutes (Phylum) / Tenericutes (Phylum)	Control
n173	Tenericutes (Phylum) / Tenericutes (Phylum)	Obese
n183	Tenericutes (Phylum) / Tenericutes (Phylum)	Obese
n232	Erysipelotrichaceae (Family) / Mollicutes (Class)	Obese
n246	Mollicutes (Class) / Solobacterium (Genus)	Control
n298	Coriobacteriaceae (Family) / Unclear	Obese
n386	Alphaproteobacteria (Class) / Proteobacteria (Phylum)	Control
n437	Bacteroidales (Order) / Unclear	Obese
n459	Bacteroidales (Order) / Bacteroidales (Order)	Control
n499	Porphyromonadaceae (Family) / Bacteroidales (Order)	Control
n592	Bacteroides (Genus) / Bacteroides (Genus)	Obese
n725	Clostridium (Genus) / Clostridiales (Order)	Control
n816	Clostridiales (Order) / Clostridium (Genus)	Control
n907	Clostridiales (Order) / Clostridiales (Order)	Control
n909	Clostridiales (Order) / Clostridiales (Order)	Obese
n912	Lachnospiraceae (Family) / Clostridiales (Order)	Control
n913	Lachnospiraceae (Family) / Lachnospiraceae (Family)	Control
n914	Clostridiales (Order) / Blautia (Genus)	Control
n1009	Lachnospiraceae (Family) / Lachnospiraceae (Family)	Control
n1047	Ruminococcus (Genus) / Lachnospiraceae (Family)	Control
n1202	Ruminococcaceae (Family) / Ruminococcaceae (Family)	Control
n1248	Ruminococcus (Genus) / Ruminococcaceae (Family)	Obese
n1288	Clostridiales (Order) / Ruminococcaceae (Family)	Control
n1323	Ruminococcaceae (Family) / Ruminococcaceae (Family)	Control
